"College","Control Number","Course ID","TOP Code","Credit Status","Maximum Units","Minimum Units","Basic Skills Status","SAM Status","Prior To Transfer Status","Non-Credit Category","Funding Category","Non-Credit Minimum Hours","Non-Credit Maximum Hours","Issue/Update Date"
"Cabrillo","CCC000366228","HMT-182     ","213300","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366316","HIST-15     ","220500","D","03.00","03.00","N","E","Y","Y","Y",,,"20130821"
"Cabrillo","CCC000366317","DANCE-84    ","100800","D","06.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366277","AH20A       ","100200","D","03.00","03.00","N","E","Y","Y","Y",,,"20180701"
"Cabrillo","CCC000366243","BIO11A      ","040100","D","04.00","04.00","N","E","Y","Y","Y",,,"20180705"
"Cabrillo","CCC000366275","PSYCH-37AB  ","200100","D","02.00","02.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366259","ESL-280CC   ","493087","C","03.00","01.00","B","E","B","Y","Y",,,"20100629"
"Cabrillo","CCC000366140","SPAN-5B     ","110500","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366129","CAOS-190NA  ","070100","D","04.00","04.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366100","CA-124      ","070100","D","04.00","04.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366066","CIS-160RA   ","070800","D","04.00","04.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366072","MA-185B     ","120800","D","01.00","01.00","N","C","Y","Y","B",,,"20070919"
"Cabrillo","CCC000366053","ENGL-101G   ","150100","D","03.00","03.00","N","E","A","Y","Y",,,"20070919"
"Cabrillo","CCC000366062","CABT-104    ","051400","D","02.00","02.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366041","HORT1A      ","010900","D","04.00","04.00","N","C","Y","Y","Y",,,"20180413"
"Cabrillo","CCC000366046","ART-40NS    ","100200","D","03.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365865","ECE-139AT   ","130500","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365880","CEM-158     ","095700","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365884","CIS-184     ","070800","D","04.00","04.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365878","AJ-20       ","210510","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365871","HIST-25A    ","220500","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365872","FT-99SL     ","213300","D","03.00","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365873","BOT-31A     ","070100","D","03.00","01.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365832","CA-100      ","070100","D","02.00","02.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365829","RT-184C     ","122500","D","02.00","02.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365787","MUS5        ","100400","D","03.00","03.00","N","E","Y","Y","Y",,,"20180629"
"Cabrillo","CCC000365771","MUS51A      ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20180831"
"Cabrillo","CCC000365753","ECE-161K    ","130500","D","01.50","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365994","MUS-1M      ","100400","D","03.00","03.00","N","E","Y","Y","Y",,,"20121106"
"Cabrillo","CCC000365908","ITAL80S     ","110400","D","04.00","01.00","N","E","Y","Y","Y",,,"20180829"
"Cabrillo","CCC000365919","DMCP-113    ","499900","D","02.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365899","DANCE-71A   ","100800","D","02.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000365952","SPAN10B     ","110500","D","03.00","03.00","N","E","Y","Y","Y",,,"20180906"
"Cabrillo","CCC000366735","BUS50       ","050100","D","03.00","03.00","N","D","Y","Y","Y",,,"20190111"
"Cabrillo","CCC000366714","RT189AL     ","122500","D","00.50","00.50","N","B","Y","Y","Y",,,"20180627"
"Cabrillo","CCC000366721","TA-20       ","100700","D","02.00","02.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366722","FPT-80S     ","213300","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366706","ITAL-2      ","110400","D","05.00","04.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366675","DANCE-79BA  ","100800","D","03.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366683","LIBR203     ","160100","C","01.00","01.00","N","E","Y","Y","Y",,,"20190123"
